1	-	src/cmd/compile/internal/amd64/galign.go:266-603:func	Init	src/cmd/compile/internal/amd64/galign.go:14
184	af	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
185	af	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
186	af	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
187	af	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
188	af	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
189	af	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
190	main	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
191	af	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
192	af	src/cmd/compile/internal/abi/abiutils.go:4371-4703:method	RegisterTypesAndOffsets	src/cmd/compile/internal/abi/abiutils.go:137
193	af	src/cmd/compile/internal/abi/abiutils.go:6150-7404:func	appendParamOffsets	src/cmd/compile/internal/abi/abiutils.go:197
194	af	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
195	af	src/cmd/compile/internal/abi/abiutils.go:4371-4703:method	RegisterTypesAndOffsets	src/cmd/compile/internal/abi/abiutils.go:137
196	af	src/cmd/compile/internal/abi/abiutils.go:6150-7404:func	appendParamOffsets	src/cmd/compile/internal/abi/abiutils.go:197
197	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
198	af	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
199	main	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
200	af	src/cmd/compile/internal/ssagen/ssa.go:253200-256624:func	defframe	src/cmd/compile/internal/ssagen/ssa.go:7533
201	main	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
202	af	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
203	af	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
204	af	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
205	main	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
206	af	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
207	main	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
208	main	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
209	main	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
210	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
211	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
212	main	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
213	main	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
