canon39_regen_store/op_units2_cpp_c0099.json: 102 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0100.json: 130 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0101.json: 100 with proved terms, 0 rendered, 13 skipped
canon39_regen_store/op_units2_cpp_c0102.json: 74 with proved terms, 0 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0103.json: 0 with proved terms, 0 rendered, 28 skipped
canon39_regen_store/op_units2_cpp_c0104.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0105.json: 62 with proved terms, 1 rendered, 67 skipped
canon39_regen_store/op_units2_cpp_c0106.json: 159 with proved terms, 3 rendered, 20 skipped
canon39_regen_store/op_units2_cpp_c0107.json: 121 with proved terms, 0 rendered, 18 skipped
canon39_regen_store/op_units2_cpp_c0108.json: 126 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0109.json: 74 with proved terms, 3 rendered, 11 skipped
canon39_regen_store/op_units2_cpp_c0110.json: 74 with proved terms, 2 rendered, 14 skipped
canon39_regen_store/op_units2_cpp_c0111.json: 0 with proved terms, 0 rendered, 23 skipped
canon39_regen_store/op_units2_cpp_c0112.json: 4 with proved terms, 0 rendered, 13 skipped
canon39_regen_store/op_units2_cpp_c0113.json: 88 with proved terms, 8 rendered, 57 skipped
canon39_regen_store/op_units2_cpp_c0114.json: 153 with proved terms, 0 rendered, 20 skipped
canon39_regen_store/op_units2_cpp_c0115.json: 98 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0116.json: 125 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0117.json: 100 with proved terms, 0 rendered, 17 skipped
canon39_regen_store/op_units2_cpp_c0118.json: 48 with proved terms, 0 rendered, 3 skipped
canon39_regen_store/op_units2_cpp_c0119.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0120.json: 132 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0121.json: 110 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0122.json: 132 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0123.json: 104 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0124.json: 6 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0125.json: 38 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0126.json: 160 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0127.json: 127 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0128.json: 93 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0129.json: 66 with proved terms, 0 rendered, 27 skipped
canon39_regen_store/op_units2_cpp_c0130.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0131.json: 4 with proved terms, 0 rendered, 33 skipped
canon39_regen_store/op_units2_cpp_c0132.json: 61 with proved terms, 0 rendered, 35 skipped
canon39_regen_store/op_units2_cpp_c0133.json: 135 with proved terms, 0 rendered, 20 skipped
